instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
15956226,62329,NIFTY26JUNFUT,NIFTY,0.0,2026-06-30,0.0,0.1,65,FUT,NFO-FUT,NFO
15639810,61093,NIFTY26JULFUT,NIFTY,0.0,2026-07-28,0.0,0.1,65,FUT,NFO-FUT,NFO
14866434,58072,NIFTY26AUGFUT,NIFTY,0.0,2026-08-25,0.0,0.1,65,FUT,NFO-FUT,NFO
15955458,62326,BANKNIFTY26JUNFUT,BANKNIFTY,0.0,2026-06-30,0.0,0.2,30,FUT,NFO-FUT,NFO
15638530,61088,BANKNIFTY26JULFUT,BANKNIFTY,0.0,2026-07-28,0.0,0.2,30,FUT,NFO-FUT,NFO
14865154,58067,BANKNIFTY26AUGFUT,BANKNIFTY,0.0,2026-08-25,0.0,0.2,30,FUT,NFO-FUT,NFO
15956738,62331,360ONE26JUNFUT,360ONE,0.0,2026-06-30,0.0,0.1,500,FUT,NFO-FUT,NFO
15640322,61095,360ONE26JULFUT,360ONE,0.0,2026-07-28,0.0,0.1,500,FUT,NFO-FUT,NFO
14866946,58074,360ONE26AUGFUT,360ONE,0.0,2026-08-25,0.0,0.1,500,FUT,NFO-FUT,NFO
15956994,62332,ABB26JUNFUT,ABB,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO
15640578,61096,ABB26JULFUT,ABB,0.0,2026-07-28,0.0,0.5,125,FUT,NFO-FUT,NFO
14867202,58075,ABB26AUGFUT,ABB,0.0,2026-08-25,0.0,0.5,125,FUT,NFO-FUT,NFO
15957250,62333,ABCAPITAL26JUNFUT,ABCAPITAL,0.0,2026-06-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
15640834,61097,ABCAPITAL26JULFUT,ABCAPITAL,0.0,2026-07-28,0.0,0.05,3100,FUT,NFO-FUT,NFO
14870018,58086,ABCAPITAL26AUGFUT,ABCAPITAL,0.0,2026-08-25,0.0,0.05,3100,FUT,NFO-FUT,NFO
15959554,62342,ADANIENSOL26JUNFUT,ADANIENSOL,0.0,2026-06-30,0.0,0.1,675,FUT,NFO-FUT,NFO
15641090,61098,ADANIENSOL26JULFUT,ADANIENSOL,0.0,2026-07-28,0.0,0.1,675,FUT,NFO-FUT,NFO
14870274,58087,ADANIENSOL26AUGFUT,ADANIENSOL,0.0,2026-08-25,0.0,0.1,675,FUT,NFO-FUT,NFO
15959810,62343,ADANIENT26JUNFUT,ADANIENT,0.0,2026-06-30,0.0,0.1,309,FUT,NFO-FUT,NFO
15641346,61099,ADANIENT26JULFUT,ADANIENT,0.0,2026-07-28,0.0,0.1,309,FUT,NFO-FUT,NFO
14870530,58088,ADANIENT26AUGFUT,ADANIENT,0.0,2026-08-25,0.0,0.1,309,FUT,NFO-FUT,NFO
15960066,62344,ADANIGREEN26JUNFUT,ADANIGREEN,0.0,2026-06-30,0.0,0.1,600,FUT,NFO-FUT,NFO
15641602,61100,ADANIGREEN26JULFUT,ADANIGREEN,0.0,2026-07-28,0.0,0.1,600,FUT,NFO-FUT,NFO
14870786,58089,ADANIGREEN26AUGFUT,ADANIGREEN,0.0,2026-08-25,0.0,0.1,600,FUT,NFO-FUT,NFO
15960322,62345,ADANIPORTS26JUNFUT,ADANIPORTS,0.0,2026-06-30,0.0,0.1,475,FUT,NFO-FUT,NFO
15641858,61101,ADANIPORTS26JULFUT,ADANIPORTS,0.0,2026-07-28,0.0,0.1,475,FUT,NFO-FUT,NFO
14871042,58090,ADANIPORTS26AUGFUT,ADANIPORTS,0.0,2026-08-25,0.0,0.1,475,FUT,NFO-FUT,NFO
15961090,62348,ADANIPOWER26JUNFUT,ADANIPOWER,0.0,2026-06-30,0.0,0.01,3550,FUT,NFO-FUT,NFO
15642114,61102,ADANIPOWER26JULFUT,ADANIPOWER,0.0,2026-07-28,0.0,0.01,3550,FUT,NFO-FUT,NFO
14871298,58091,ADANIPOWER26AUGFUT,ADANIPOWER,0.0,2026-08-25,0.0,0.01,3550,FUT,NFO-FUT,NFO
15961346,62349,ALKEM26JUNFUT,ALKEM,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO
15642370,61103,ALKEM26JULFUT,ALKEM,0.0,2026-07-28,0.0,0.5,125,FUT,NFO-FUT,NFO
14873602,58100,ALKEM26AUGFUT,ALKEM,0.0,2026-08-25,0.0,0.5,125,FUT,NFO-FUT,NFO
15963906,62359,AMBER26JUNFUT,AMBER,0.0,2026-06-30,0.0,0.5,100,FUT,NFO-FUT,NFO
15642626,61104,AMBER26JULFUT,AMBER,0.0,2026-07-28,0.0,0.5,100,FUT,NFO-FUT,NFO
14873858,58101,AMBER26AUGFUT,AMBER,0.0,2026-08-25,0.0,0.5,100,FUT,NFO-FUT,NFO
15964162,62360,AMBUJACEM26JUNFUT,AMBUJACEM,0.0,2026-06-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
15642882,61105,AMBUJACEM26JULFUT,AMBUJACEM,0.0,2026-07-28,0.0,0.05,1200,FUT,NFO-FUT,NFO
14874114,58102,AMBUJACEM26AUGFUT,AMBUJACEM,0.0,2026-08-25,0.0,0.05,1200,FUT,NFO-FUT,NFO
15964418,62361,ANGELONE26JUNFUT,ANGELONE,0.0,2026-06-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
15643138,61106,ANGELONE26JULFUT,ANGELONE,0.0,2026-07-28,0.0,0.05,2500,FUT,NFO-FUT,NFO
14874370,58103,ANGELONE26AUGFUT,ANGELONE,0.0,2026-08-25,0.0,0.05,2500,FUT,NFO-FUT,NFO
15964674,62362,APLAPOLLO26JUNFUT,APLAPOLLO,0.0,2026-06-30,0.0,0.1,350,FUT,NFO-FUT,NFO
15643394,61107,APLAPOLLO26JULFUT,APLAPOLLO,0.0,2026-07-28,0.0,0.1,350,FUT,NFO-FUT,NFO
14874626,58104,APLAPOLLO26AUGFUT,APLAPOLLO,0.0,2026-08-25,0.0,0.1,350,FUT,NFO-FUT,NFO
15964930,62363,APOLLOHOSP26JUNFUT,APOLLOHOSP,0.0,2026-06-30,0.0,0.5,125,FUT,NFO-FUT,NFO
15643650,61108,APOLLOHOSP26JULFUT,APOLLOHOSP,0.0,2026-07-28,0.0,0.5,125,FUT,NFO-FUT,NFO
14874882,58105,APOLLOHOSP26AUGFUT,APOLLOHOSP,0.0,2026-08-25,0.0,0.5,125,FUT,NFO-FUT,NFO
15965698,62366,ASHOKLEY26JUNFUT,ASHOKLEY,0.0,2026-06-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
15643906,61109,ASHOKLEY26JULFUT,ASHOKLEY,0.0,2026-07-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
14875138,58106,ASHOKLEY26AUGFUT,ASHOKLEY,0.0,2026-08-25,0.0,0.01,5000,FUT,NFO-FUT,NFO
15965954,62367,ASIANPAINT26JUNFUT,ASIANPAINT,0.0,2026-06-30,0.0,0.1,250,FUT,NFO-FUT,NFO
15644162,61110,ASIANPAINT26JULFUT,ASIANPAINT,0.0,2026-07-28,0.0,0.1,250,FUT,NFO-FUT,NFO
14875394,58107,ASIANPAINT26AUGFUT,ASIANPAINT,0.0,2026-08-25,0.0,0.1,250,FUT,NFO-FUT,NFO
15966722,62370,ASTRAL26JUNFUT,ASTRAL,0.0,2026-06-30,0.0,0.1,425,FUT,NFO-FUT,NFO
15644418,61111,ASTRAL26JULFUT,ASTRAL,0.0,2026-07-28,0.0,0.1,425,FUT,NFO-FUT,NFO
14875650,58108,ASTRAL26AUGFUT,ASTRAL,0.0,2026-08-25,0.0,0.1,425,FUT,NFO-FUT,NFO
15966978,62371,AUBANK26JUNFUT,AUBANK,0.0,2026-06-30,0.0,0.1,1000,FUT,NFO-FUT,NFO
15644674,61112,AUBANK26JULFUT,AUBANK,0.0,2026-07-28,0.0,0.1,1000,FUT,NFO-FUT,NFO
14875906,58109,AUBANK26AUGFUT,AUBANK,0.0,2026-08-25,0.0,0.1,1000,FUT,NFO-FUT,NFO
15967234,62372,AUROPHARMA26JUNFUT,AUROPHARMA,0.0,2026-06-30,0.0,0.1,550,FUT,NFO-FUT,NFO
15644930,61113,AUROPHARMA26JULFUT,AUROPHARMA,0.0,2026-07-28,0.0,0.1,550,FUT,NFO-FUT,NFO
14877698,58116,AUROPHARMA26AUGFUT,AUROPHARMA,0.0,2026-08-25,0.0,0.1,550,FUT,NFO-FUT,NFO
15967490,62373,AXISBANK26JUNFUT,AXISBANK,0.0,2026-06-30,0.0,0.1,625,FUT,NFO-FUT,NFO
15645186,61114,AXISBANK26JULFUT,AXISBANK,0.0,2026-07-28,0.0,0.1,625,FUT,NFO-FUT,NFO
14877954,58117,AXISBANK26AUGFUT,AXISBANK,0.0,2026-08-25,0.0,0.1,625,FUT,NFO-FUT,NFO
15967746,62374,BAJAJ-AUTO26JUNFUT,BAJAJ-AUTO,0.0,2026-06-30,0.0,0.5,75,FUT,NFO-FUT,NFO
15645442,61115,BAJAJ-AUTO26JULFUT,BAJAJ-AUTO,0.0,2026-07-28,0.0,0.5,75,FUT,NFO-FUT,NFO
14878210,58118,BAJAJ-AUTO26AUGFUT,BAJAJ-AUTO,0.0,2026-08-25,0.0,0.5,75,FUT,NFO-FUT,NFO
15968002,62375,BAJAJFINSV26JUNFUT,BAJAJFINSV,0.0,2026-06-30,0.0,0.1,250,FUT,NFO-FUT,NFO
15645698,61116,BAJAJFINSV26JULFUT,BAJAJFINSV,0.0,2026-07-28,0.0,0.1,300,FUT,NFO-FUT,NFO
14878466,58119,BAJAJFINSV26AUGFUT,BAJAJFINSV,0.0,2026-08-25,0.0,0.1,300,FUT,NFO-FUT,NFO
15968258,62376,BAJAJHLDNG26JUNFUT,BAJAJHLDNG,0.0,2026-06-30,0.0,1.0,50,FUT,NFO-FUT,NFO
15645954,61117,BAJAJHLDNG26JULFUT,BAJAJHLDNG,0.0,2026-07-28,0.0,1.0,75,FUT,NFO-FUT,NFO
14878722,58120,BAJAJHLDNG26AUGFUT,BAJAJHLDNG,0.0,2026-08-25,0.0,1.0,75,FUT,NFO-FUT,NFO
15968514,62377,BAJFINANCE26JUNFUT,BAJFINANCE,0.0,2026-06-30,0.0,0.05,750,FUT,NFO-FUT,NFO
15646210,61118,BAJFINANCE26JULFUT,BAJFINANCE,0.0,2026-07-28,0.0,0.05,750,FUT,NFO-FUT,NFO
14878978,58121,BAJFINANCE26AUGFUT,BAJFINANCE,0.0,2026-08-25,0.0,0.05,750,FUT,NFO-FUT,NFO
15968770,62378,BANDHANBNK26JUNFUT,BANDHANBNK,0.0,2026-06-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
15646978,61121,BANDHANBNK26JULFUT,BANDHANBNK,0.0,2026-07-28,0.0,0.01,3600,FUT,NFO-FUT,NFO
14879234,58122,BANDHANBNK26AUGFUT,BANDHANBNK,0.0,2026-08-25,0.0,0.01,3600,FUT,NFO-FUT,NFO
15969026,62379,BANKBARODA26JUNFUT,BANKBARODA,0.0,2026-06-30,0.0,0.05,2925,FUT,NFO-FUT,NFO
15647234,61122,BANKBARODA26JULFUT,BANKBARODA,0.0,2026-07-28,0.0,0.05,2925,FUT,NFO-FUT,NFO
14879490,58123,BANKBARODA26AUGFUT,BANKBARODA,0.0,2026-08-25,0.0,0.05,2925,FUT,NFO-FUT,NFO
15969282,62380,BANKINDIA26JUNFUT,BANKINDIA,0.0,2026-06-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
15647490,61123,BANKINDIA26JULFUT,BANKINDIA,0.0,2026-07-28,0.0,0.01,5200,FUT,NFO-FUT,NFO
14880002,58125,BANKINDIA26AUGFUT,BANKINDIA,0.0,2026-08-25,0.0,0.01,5200,FUT,NFO-FUT,NFO
15969538,62381,BDL26JUNFUT,BDL,0.0,2026-06-30,0.0,0.1,350,FUT,NFO-FUT,NFO
15647746,61124,BDL26JULFUT,BDL,0.0,2026-07-28,0.0,0.1,425,FUT,NFO-FUT,NFO
14880258,58126,BDL26AUGFUT,BDL,0.0,2026-08-25,0.0,0.1,425,FUT,NFO-FUT,NFO
15969794,62382,BEL26JUNFUT,BEL,0.0,2026-06-30,0.0,0.05,1425,FUT,NFO-FUT,NFO
15648002,61125,BEL26JULFUT,BEL,0.0,2026-07-28,0.0,0.05,1425,FUT,NFO-FUT,NFO
14881282,58130,BEL26AUGFUT,BEL,0.0,2026-08-25,0.0,0.05,1425,FUT,NFO-FUT,NFO
15970050,62383,BHARATFORG26JUNFUT,BHARATFORG,0.0,2026-06-30,0.0,0.1,500,FUT,NFO-FUT,NFO
15648258,61126,BHARATFORG26JULFUT,BHARATFORG,0.0,2026-07-28,0.0,0.1,500,FUT,NFO-FUT,NFO
14881538,58131,BHARATFORG26AUGFUT,BHARATFORG,0.0,2026-08-25,0.0,0.1,500,FUT,NFO-FUT,NFO
15970306,62384,BHARTIARTL26JUNFUT,BHARTIARTL,0.0,2026-06-30,0.0,0.1,475,FUT,NFO-FUT,NFO
15648514,61127,BHARTIARTL26JULFUT,BHARTIARTL,0.0,2026-07-28,0.0,0.1,475,FUT,NFO-FUT,NFO
14881794,58132,BHARTIARTL26AUGFUT,BHARTIARTL,0.0,2026-08-25,0.0,0.1,475,FUT,NFO-FUT,NFO
