timestamp,underlying_price,atm_strike,strike,call_ltp,call_oi,call_volume,put_ltp,put_oi,put_volume,volume_diff,change_call_oi,change_put_oi,action
2026-05-27T14:37:02,23922.0,23900.0,23650.0,295.9,137345,1154790,65.45,1369290,18549310,14495,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,23700.0,261.0,910845,6578390,79.45,4033640,46044570,16380,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,23750.0,227.45,331825,4765800,95.8,2088255,30820140,7085,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,23800.0,197.6,2306850,29752775,115.75,4766710,71044155,22035,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,23850.0,169.0,1363700,29082495,138.65,2472015,58499480,206635,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,23900.0,144.1,7903805,129221300,163.2,7112040,155080965,43940,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,23950.0,122.0,4697095,82929080,191.05,2490800,81620825,9490,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,24000.0,102.2,12207325,118668680,221.35,5298475,87342190,32955,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,24050.0,84.8,2975895,33791355,252.85,791765,13179335,4680,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,24100.0,70.2,5695105,57108025,286.85,1155115,16376035,12740,0,0,WATCH
2026-05-27T14:37:02,23922.0,23900.0,24150.0,57.2,2005705,25659855,324.15,232440,3613415,1950,0,0,WATCH
2026-05-27T14:37:32,23924.9,23900.0,23650.0,298.7,140400,1162395,64.0,1370005,18654025,112320,3055,715,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,23700.0,262.85,910455,6599645,78.0,3989635,46280520,257205,-390,-44005,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,23750.0,231.05,338910,4779255,94.35,2068820,30966455,159770,7085,-19435,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,23800.0,201.15,2323360,29809780,114.7,4715295,71392685,405535,16510,-51415,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,23850.0,172.75,1422980,29166345,134.9,2713360,59050290,634660,59280,241345,BOTH BUILD
2026-05-27T14:37:32,23924.9,23900.0,23900.0,145.55,7918430,129481755,161.0,6958120,155588810,768300,14625,-153920,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,23950.0,122.95,4680910,83044715,188.25,2407795,81778385,273195,-16185,-83005,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,24000.0,103.65,12145770,118869530,217.7,5174455,87535825,394485,-61555,-124020,CALL ACTIVE
2026-05-27T14:37:32,23924.9,23900.0,24050.0,85.6,2960360,33843550,250.3,788255,13213980,86840,-15535,-3510,OI UNWIND
2026-05-27T14:37:32,23924.9,23900.0,24100.0,71.0,5686850,57213845,284.1,1147055,16410355,140140,-8255,-8060,OI UNWIND
2026-05-27T14:37:32,23924.9,23900.0,24150.0,58.1,1989520,25697620,319.4,227890,3624920,49270,-16185,-4550,OI UNWIND
2026-05-27T14:38:02,23927.4,23950.0,23700.0,266.85,910455,6625905,75.95,3989635,46532655,278395,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,23750.0,233.95,338910,4791475,92.1,2068820,31085990,131755,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,23800.0,202.4,2323360,29913585,111.3,4715295,71720545,431665,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,23850.0,174.25,1422980,29294655,132.55,2713360,59290920,368940,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,23900.0,147.9,7918430,129816440,157.25,6958120,156076050,821925,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,23950.0,125.55,4680910,83212740,183.75,2407795,81960255,349895,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,24000.0,105.0,12145770,119130635,213.8,5174455,87727380,452660,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,24050.0,86.8,2960360,33899970,245.75,788255,13238810,81250,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,24100.0,71.95,5686850,57323955,279.5,1147055,16442790,142545,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,24150.0,58.25,1989520,25768795,315.8,227890,3631420,77675,0,0,WATCH
2026-05-27T14:38:02,23927.4,23950.0,24200.0,47.5,6143605,49157550,354.0,560300,6858085,0,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,23700.0,268.5,910455,6628245,74.65,3989635,46562750,32435,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,23750.0,233.85,338910,4792450,90.7,2068820,31105230,20215,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,23800.0,204.15,2323360,29929900,109.4,4715295,71759025,54795,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,23850.0,175.05,1422980,29324880,131.45,2713360,59340060,79365,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,23900.0,148.8,7918430,129883715,155.6,6958120,156147290,138515,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,23950.0,125.65,4680910,83250115,182.6,2407795,81981835,58955,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,24000.0,105.75,12145770,119181465,212.0,5174455,87772815,96265,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,24050.0,87.6,2960360,33919535,243.2,788255,13244725,25480,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,24100.0,72.25,5686850,57348590,277.7,1147055,16445195,27040,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,24150.0,59.0,1989520,25782835,314.75,227890,3633825,16445,0,0,WATCH
2026-05-27T14:38:12,23934.8,23950.0,24200.0,47.8,6143605,49187255,354.0,560300,6859255,30875,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,23700.0,267.75,910455,6631625,75.0,3989635,46601490,42120,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,23750.0,233.4,338910,4798300,91.1,2068820,31132010,32630,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,23800.0,203.5,2323360,29966040,110.1,4715295,71862310,139425,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,23850.0,174.35,1422980,29362125,131.55,2713360,59389525,86710,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,23900.0,149.1,7918430,129962690,155.5,6958120,156290095,221780,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,23950.0,126.0,4680910,83300425,182.2,2407795,82045210,113685,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,24000.0,105.7,12145770,119229825,212.2,5174455,87806420,81965,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,24050.0,87.55,2960360,33930650,243.85,788255,13248885,15275,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,24100.0,72.3,5686850,57373745,278.65,1147055,16454815,34775,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,24150.0,58.7,1989520,25791805,315.15,227890,3634995,10140,0,0,WATCH
2026-05-27T14:38:22,23929.7,23950.0,24200.0,47.7,6143605,49211825,354.45,560300,6861595,26910,0,0,WATCH
2026-05-27T14:38:32,23935.0,23950.0,23700.0,269.8,909805,6640335,73.9,3993535,46646600,53820,-650,3900,WATCH
2026-05-27T14:38:32,23935.0,23950.0,23750.0,236.5,349700,4807595,90.05,2052505,31170880,48165,10790,-16315,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,23800.0,204.4,2369640,29993925,108.95,4648735,71919445,85020,46280,-66560,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,23850.0,175.55,1483885,29392155,130.15,2655250,59451080,91585,60905,-58110,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,23900.0,150.15,7989865,130060385,153.8,6924515,156400205,207805,71435,-33605,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,23950.0,126.9,4672460,83323435,180.3,2343575,82081870,59670,-8450,-64220,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,24000.0,106.65,12226240,119358005,209.95,5133245,87869405,191165,80470,-41210,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,24050.0,88.0,2968810,33946900,241.9,787930,13254345,21710,8450,-325,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,24100.0,72.75,5699980,57405725,276.0,1136850,16463395,40560,13130,-10205,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,24150.0,58.85,2008825,25819300,312.6,226200,3635580,28080,19305,-1690,CALL ACTIVE
2026-05-27T14:38:32,23935.0,23950.0,24200.0,48.0,6144255,49246405,349.85,561665,6873815,46800,650,1365,BOTH BUILD
2026-05-27T14:38:42,23940.0,23950.0,23700.0,272.05,909805,6660615,73.1,3993535,46715695,89375,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,23750.0,237.5,349700,4815720,89.25,2052505,31224440,61685,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,23800.0,206.3,2369640,30031105,107.6,4648735,71984055,101790,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,23850.0,177.6,1483885,29441620,128.7,2655250,59531615,130000,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,23900.0,151.5,7989865,130190255,152.25,6924515,156574405,304070,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,23950.0,127.9,4672460,83357560,179.1,2343575,82140110,92365,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,24000.0,107.5,12226240,119473900,208.25,5133245,87920820,167310,0,0,WATCH
2026-05-27T14:38:42,23940.0,23950.0,24050.0,89.0,2968810,33983885,239.6,787930,13261755,44395,0,0,WATCH
