timestamp,underlying_price,atm_strike,strike,call_ltp,call_oi,call_volume,put_ltp,put_oi,put_volume,volume_diff,change_call_oi,change_put_oi,action
2026-05-27T15:12:31,23962.0,23950.0,23700.0,297.65,813865,7709585,64.65,3884725,51767560,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,23750.0,263.2,314600,5389085,78.95,1581645,35025315,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,23800.0,229.7,2068300,33892625,95.5,4305990,80162290,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,23850.0,198.25,1324570,34037640,114.8,2548260,66267955,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,23900.0,169.8,7419425,145315430,136.0,6597955,170546610,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,23950.0,144.65,3883620,89403925,160.8,2017340,85963475,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,24000.0,122.35,11005800,130459485,188.05,4910685,93182115,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,24050.0,102.1,2671045,37198265,218.05,725140,14082770,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,24100.0,84.7,5353400,63721190,250.7,1079325,17441060,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,24150.0,69.15,1742065,27995175,284.7,218140,3827005,0,0,0,WATCH
2026-05-27T15:12:31,23962.0,23950.0,24200.0,56.4,6087055,54754310,321.3,536640,7281820,0,0,0,WATCH
2026-05-27T15:13:01,23969.9,23950.0,23700.0,298.55,809965,7723105,64.05,3878290,51866945,112905,-3900,-6435,CALL ACTIVE
2026-05-27T15:13:01,23969.9,23950.0,23750.0,262.45,309270,5397405,78.6,1568255,35072635,55640,-5330,-13390,CALL ACTIVE
2026-05-27T15:13:01,23969.9,23950.0,23800.0,229.75,2044185,33925580,94.85,4271020,80423525,294190,-24115,-34970,CALL ACTIVE
2026-05-27T15:13:01,23969.9,23950.0,23850.0,198.75,1308060,34090095,114.25,2561845,66384695,169195,-16510,13585,WATCH
2026-05-27T15:13:01,23969.9,23950.0,23900.0,169.55,7289425,145470195,135.2,6557330,170792505,400660,-130000,-40625,OI UNWIND
2026-05-27T15:13:01,23969.9,23950.0,23950.0,144.75,3811860,89502985,159.9,2004990,86052915,188500,-71760,-12350,OI UNWIND
2026-05-27T15:13:01,23969.9,23950.0,24000.0,122.2,10771345,130603330,187.3,4938310,93285790,247520,-234455,27625,WATCH
2026-05-27T15:13:01,23969.9,23950.0,24050.0,101.65,2647580,37239670,217.5,720395,14097720,56355,-23465,-4745,OI UNWIND
2026-05-27T15:13:01,23969.9,23950.0,24100.0,84.3,5331690,63842805,249.95,1074515,17456790,137345,-21710,-4810,OI UNWIND
